1,137
1,48,81,146
2,48,82,140
0,43,82,136
1,47,82,146
2,49,81,140
0,45,83,140
1,46,82,146
2,49,81,140
0,42,82,140
1,45,82,147
2,49,82,138
0,43,83,136
1,46,82,147
2,48,81,140
0,44,81,139
1,47,82,146
2,41,81,134
0,42,83,134
1,47,82,146
2,48,81,141
0,43,82,136
1,47,82,147
2,40,81,137
0,45,82,140
1,46,82,146
2,28,82,138
0,43,82,140
1,46,81,146
2,28,82,138
0,42,82,136
1,46,81,145
2,48,81,140
0,44,82,140
1,45,84,146
2,70,81,137
0,42,82,135
1,47,82,145
2,48,81,140
0,42,82,135
1,46,83,146
2,62,82,138
0,43,82,140
1,46,83,141
2,48,82,137
0,42,82,140
1,46,83,146
2,48,81,138
0,44,82,137
1,46,82,141
2,48,81,141
0,44,82,140
1,46,82,146
